Study Accession,Sample Accession or Sample ID,GMWI,Inverse Simpson,Richness,Shannon,Evenness
PRJEB11532,SAMEA3665012,2.1857319751372866,1.4174040249212536,50.0,0.8593890800686406,0.14955772560974415
PRJEB11532,SAMEA3665013,0.4466470284610052,7.56741813052969,78.0,2.5912772542448366,0.45095468578465847
PRJEB11532,SAMEA3665014,1.3675761347273563,4.864544414143347,58.0,2.2095760475069657,0.3845280047083162
PRJEB11532,SAMEA3665015,3.3784861105616653,10.00213526823366,74.0,2.7376091204134596,0.4764205214532484
PRJEB11532,SAMEA3665016,2.0905815439850497,17.38968452707742,78.0,3.3922623528146794,0.5903484858313548
PRJEB11532,SAMEA3665017,1.5307149406641134,7.466070033669361,79.0,2.4894720909698282,0.4332377412389786
PRJEB11532,SAMEA3665018,4.259933937261067,13.709497149209001,68.0,3.062627470123044,0.5329828007413625
PRJEB11532,SAMEA3665019,3.0800691007550838,16.212644459507498,75.0,3.17664833344183,0.5528256186052515
PRJEB11532,SAMEA3665020,1.6575386391530318,4.162299377541272,81.0,2.511383922759532,0.43705101255277007
PRJEB11532,SAMEA3665021,4.132148924009485,7.896251704320018,76.0,2.843563054422966,0.49485946809264614
PRJEB11532,SAMEA3665022,-1.034466886084433,4.289265204204249,44.0,2.0110963169881257,0.3499869827608862
PRJEB11532,SAMEA3665023,1.990256865297781,3.0012333767663573,83.0,2.0268273095142653,0.3527246152469836
PRJEB11532,SAMEA3665024,3.3854636831535494,13.841228844199444,71.0,3.2031364277454415,0.5574352875336351
PRJEB11532,SAMEA3665025,3.7603719405622034,11.098026538821966,68.0,2.8929362616784497,0.5034517864667624
PRJEB11532,SAMEA3665026,3.1871238456227706,1.9781795517949812,65.0,1.417480335673454,0.24668120647160902
PRJEB11532,SAMEA3665027,3.954855350778672,1.6114030550645486,52.0,1.1156353826622096,0.19415174606057362
PRJEB11532,SAMEA3665028,2.2567460170180005,19.550905873412134,87.0,3.3704089329577314,0.5865453798268674
PRJEB11532,SAMEA3665030,1.028745067755858,10.88894905343875,65.0,2.7409951289145904,0.4770097815940498
PRJEB11532,SAMEA3665031,1.8343392540184373,2.0925524801323085,75.0,1.575616377027557,0.2742012986281897
PRJEB11532,SAMEA3665032,3.585724515598702,6.334588206003937,67.0,2.6752270353458956,0.46556429465460997
PRJEB11532,SAMEA3665033,3.9904200655733484,2.3697228085856725,72.0,1.826499156712557,0.3178619161465578
PRJEB11532,SAMEA3665034,2.449962643524963,15.73981998816866,81.0,3.3305383980991756,0.5796067921131239
PRJEB11532,SAMEA3665035,2.8083016104001124,1.7869723850287975,52.0,1.240000993153772,0.21579483913746006
PRJEB11532,SAMEA3665036,-0.29488768953112854,17.882431998452812,92.0,3.3601352795401374,0.584757476914818
PRJEB11532,SAMEA3665037,2.3245647181951696,11.772846420679345,84.0,3.143435928640192,0.5470457316607183
PRJEB11532,SAMEA3665038,2.8816354571517837,11.290842617028778,82.0,2.9660876514659464,0.516182173360829
PRJEB11532,SAMEA3665039,3.6346425306977346,5.099518078480189,64.0,2.462048714575103,0.42846530707934577
PRJEB11532,SAMEA3665040,3.3045100934164826,3.2772603745634843,60.0,2.1334132315910277,0.37127354547838104
PRJEB11532,SAMEA3665041,0.8004013500019181,7.828219928781702,65.0,2.6507781023413743,0.46130949680047717
PRJEB11532,SAMEA3665042,3.3588641234223653,9.840711238692263,63.0,2.919191446023252,0.5080209225509207
PRJEB11532,SAMEA3665043,1.117394444856223,15.464148775465851,66.0,3.073619690177555,0.5348957543369832
PRJEB11532,SAMEA3665044,2.0331157149640693,11.02929435791686,72.0,2.9737314721609462,0.5175124118577176
PRJEB11532,SAMEA3665045,1.591082517649607,12.24350483680578,74.0,3.096216637794451,0.5388282549582799
