GMHI,Richness,Evenness,Shannon,Inverse Simpson
-2.0652,72,0.5114,2.9387,12.4064
-2.2147,77,0.4376,2.5146,7.606
-0.3117,46,0.2834,1.6287,3.2776
-3.1432,56,0.3811,2.1901,4.6475
-3.5482,82,0.4518,2.5963,8.1779
-3.5648,63,0.4167,2.3946,5.3932
-1.4974,64,0.3905,2.2437,5.5898
-0.2534,70,0.4856,2.7902,10.5848
-3.3936,70,0.4373,2.5127,6.7646
-0.1715,98,0.5898,3.3893,19.2347
-3.8475,50,0.3634,2.0879,4.6374
2.3734,60,0.4605,2.646,7.776
-0.1851,33,0.1429,0.8211,1.4387
-3.6364,81,0.396,2.2753,5.3695
-1.4503,69,0.4392,2.5236,7.117
0.9862,63,0.2467,1.4174,1.9118
0.4777,82,0.4758,2.734,9.1735
-0.4515,60,0.4839,2.7808,12.8321
-0.6387,121,0.6187,3.555,18.8318
-2.7181,66,0.4455,2.5598,7.2194
-0.8793,66,0.5184,2.9787,13.2655
0.3827,78,0.5267,3.0264,11.8297
-0.3176,104,0.4939,2.8378,6.9208
-1.6932,67,0.4647,2.6701,9.3267
0.0926,82,0.4779,2.7461,8.0785
-0.5787,78,0.532,3.0569,13.4823
-4.3462,67,0.421,2.4193,5.4666
-3.8618,55,0.4305,2.474,6.0859
0.608,79,0.3857,2.2162,3.4808
0.7035,79,0.5052,2.903,12.861
2.8397,71,0.565,3.2467,15.0196
0.6151,91,0.5198,2.9867,10.9214
1.2823,62,0.4654,2.6744,7.6577
0.9309,75,0.5139,2.9531,10.9822
0.0568,53,0.5095,2.9275,13.7939
2.3069,77,0.4584,2.6342,4.8977
-0.6807,46,0.4645,2.6689,10.1544
-0.8365,94,0.636,3.6547,27.3988
0.3693,59,0.4853,2.7885,8.7694
3.9681,67,0.585,3.3618,19.5098
0.0511,66,0.5228,3.0039,14.0693
1.1808,87,0.6149,3.5333,24.3995
2.2043,74,0.5955,3.4219,20.2027
2.1371,65,0.5015,2.8818,10.8468
0.607,65,0.5424,3.1169,14.6649
-0.0407,69,0.5048,2.9007,9.7148
3.7507,56,0.5171,2.9713,14.2251
-3.3032,61,0.5104,2.9327,11.1076
2.0597,65,0.5344,3.0706,11.982
1.8688,65,0.4753,2.7313,8.407
0.1507,63,0.5035,2.8929,12.773
1.825,62,0.5298,3.0445,13.0196
-0.2292,74,0.4356,2.5029,5.5628
-2.2131,76,0.518,2.9765,12.9158
-3.9961,53,0.5167,2.9691,12.5702
3.3421,66,0.5239,3.0105,13.2536
-0.8757,69,0.5214,2.9962,9.5917
-0.1604,67,0.5171,2.9714,11.0754
1.4271,92,0.5561,3.1953,12.8088
1.3886,71,0.458,2.6319,7.4203
2.3985,57,0.5602,3.219,14.5301
-1.5148,61,0.5178,2.9751,13.3608
0.9064,65,0.4877,2.8025,9.8233
-0.7333,74,0.4106,2.3595,5.512
1.4582,69,0.5455,3.1344,12.6336
0.0796,72,0.5132,2.9491,10.7762
1.2037,69,0.3908,2.2454,4.071
3.4989,60,0.5074,2.9155,8.8613
-1.4092,83,0.5741,3.2991,18.257
-4.2011,65,0.5038,2.8947,11.1193
0.1742,63,0.5458,3.1364,16.1118
1.1789,74,0.5717,3.2853,18.2102
1.382,77,0.5282,3.0354,11.8037
1.5329,79,0.6259,3.5965,26.6795
2.0194,67,0.4512,2.5927,6.7409
1.2383,67,0.4205,2.4161,6.0312
1.39,76,0.551,3.166,15.4609
-0.7541,87,0.5631,3.2354,15.8003
2.4024,58,0.4992,2.8687,10.9233
-0.6178,75,0.4819,2.769,6.7682
-1.0747,71,0.4471,2.5692,6.4861
1.8515,77,0.5639,3.2403,14.405
1.1929,63,0.5008,2.8775,11.2978
-0.0772,70,0.5267,3.0265,13.4864
0.8353,76,0.4718,2.7108,8.4984
0.7718,77,0.5255,3.0194,10.2522
-1.5457,83,0.5226,3.0032,12.3649
1.0904,80,0.5116,2.9396,8.526
-0.2012,71,0.5468,3.142,15.5296
1.5729,67,0.5308,3.0498,13.3675
-0.2457,69,0.5156,2.9626,12.7712
0.7178,70,0.4282,2.4606,5.8987
